0,0
0.001,-5.9998e-05
0.002,-0.00011983
0.003,-0.00017935
0.004,-0.0002386
0.005,-0.0002976
0.006,-0.00035639
0.007,-0.00041499
0.008,-0.00047343
0.009,-0.00053174
0.01,-0.00058995
0.011,-0.00064808
0.012,-0.00070616
0.013,-0.00076421
0.014,-0.00082226
0.015,-0.00088034
0.016,-0.00093845
0.017,-0.00099664
0.018,-0.0010549
0.019,-0.0011133
0.02,-0.0011718
0.021,-0.0012305
0.022,-0.0012893
0.023,-0.0013483
0.024,-0.0014075
0.025,-0.001467
0.026,-0.0015266
0.027,-0.0015866
0.028,-0.0016468
0.029,-0.0017073
0.03,-0.0017681
0.031,-0.0018292
0.032,-0.0018907
0.033,-0.0019525
0.034,-0.0020147
0.035,-0.0020772
0.036,-0.0021401
0.037,-0.0022035
0.038,-0.0022672
0.039,-0.0023314
0.04,-0.002396
0.041,-0.002461
0.042,-0.0025265
0.043,-0.0025925
0.044,-0.0026589
0.045,-0.0027258
0.046,-0.0027932
0.047,-0.0028612
0.048,-0.0029296
0.049,-0.0029985
0.05,-0.003068
0.051,-0.003138
0.052,-0.0032086
0.053,-0.0032797
0.054,-0.0033514
0.055,-0.0034237
0.056,-0.0034965
0.057,-0.0035699
0.058,-0.0036439
0.059,-0.0037184
0.06,-0.0037936
0.061,-0.0038694
0.062,-0.0039458
0.063,-0.0040228
0.064,-0.0041004
0.065,-0.0041786
0.066,-0.0042575
0.067,-0.004337
0.068,-0.0044171
0.069,-0.0044979
0.07,-0.0045793
0.071,-0.0046614
0.072,-0.0047441
0.073,-0.0048275
0.074,-0.0049115
0.075,-0.0049962
0.076,-0.0050816
0.077,-0.0051676
0.078,-0.0052543
0.079,-0.0053417
0.08,-0.0054298
0.081,-0.0055185
0.082,-0.0056079
0.083,-0.005698
0.084,-0.0057888
0.085,-0.0058802
0.086,-0.0059724
0.087,-0.0060652
0.088,-0.0061587
0.089,-0.0062529
0.09,-0.0063478
0.091,-0.0064434
